datetime,open,high,low,close,volume,turnover_hkd
2026-09-01,0.236,0.255,0.236,0.248,1647000,408427.000
2026-09-02,0.240,0.255,0.240,0.250,39000,9603.000
2026-09-03,0.247,0.255,0.240,0.255,54000,13225.000
2026-09-04,0.255,0.255,0.243,0.250,26000,6519.000
2026-09-07,0.244,0.244,0.240,0.240,18000,4339.000
2026-09-08,0.240,0.240,0.240,0.240,7000,1680.000
2026-09-09,0.250,0.260,0.250,0.250,81000,20506.000
2026-09-10,0.255,0.260,0.255,0.255,77000,19835.000
2026-09-11,0.260,0.275,0.260,0.275,347000,92340.000
2026-09-14,0.295,0.350,0.295,0.320,1061000,337050.000
2026-09-15,0.320,0.340,0.300,0.310,219600,68782.000
2026-09-16,0.310,0.315,0.310,0.315,33000,10385.000
2026-09-17,0.315,0.315,0.285,0.285,100400,29457.000
2026-09-18,0.290,0.290,0.290,0.290,7000,2030.000
2026-09-21,0.280,0.290,0.280,0.290,76000,21490.000
2026-09-22,0.295,0.310,0.295,0.310,355000,107775.000
2026-09-23,0.310,0.350,0.310,0.320,380000,123715.000
2026-09-24,0.320,0.330,0.315,0.330,157000,50430.000
