date,open_hkd,close_hkd,high_hkd,low_hkd,volume_shares
2026-09-01,0.236,0.248,0.255,0.236,1647000
2026-09-02,0.240,0.250,0.255,0.240,39000
2026-09-03,0.247,0.255,0.255,0.240,54000
2026-09-04,0.255,0.250,0.255,0.243,26000
2026-09-07,0.244,0.240,0.244,0.240,18000
2026-09-08,0.240,0.240,0.240,0.240,7000
2026-09-09,0.250,0.250,0.260,0.250,81000
2026-09-10,0.255,0.255,0.260,0.255,77000
2026-09-11,0.260,0.275,0.275,0.260,347000
2026-09-14,0.295,0.320,0.350,0.295,1061000
2026-09-15,0.320,0.310,0.340,0.300,219600
2026-09-16,0.310,0.315,0.315,0.310,33000
2026-09-17,0.315,0.285,0.315,0.285,100400
2026-09-18,0.290,0.290,0.290,0.290,7000
2026-09-21,0.280,0.290,0.290,0.280,76000
2026-09-22,0.295,0.310,0.310,0.295,355000
2026-09-23,0.310,0.320,0.350,0.310,380000
